#Site-label   Center(X)   Center(Y)   Center(Z)  Site-Type   N-Neighbors   Occupancy  Site-Amplitud
     1        0.243137    3.372549    5.062745       0           4        0.474370     0.683906   
     2        0.126923    3.500000   11.550000       0           4        0.451186     0.692372   
     3        0.234483    3.348276   18.058621       0           4        0.554264     0.677005   
     4        0.142857    3.416327   24.595918       0           4        0.410764     0.630741   
     5        0.100000    9.886667    8.303333       0           4        0.413262     0.663467   
     6        0.129412    9.956863   14.788235       0           4        0.582344     0.665628   
     7        0.058824    9.933333   21.305882       0           4        0.381734     0.612531   
     8        0.179167    9.970833    1.808333       0           4        0.483363     0.603894   
     9        0.169565   16.456522    5.030435       0           4        0.434148     0.591097   
     10       0.155172   16.362069   11.572414       0           4        0.528882     0.717324   
     11       0.178182   16.414545   18.072727       0           4        0.441143     0.734707   
     12       0.113636   16.390909   24.577273       0           4        0.477567     0.591503   
     13       0.115789   22.926316    8.301754       0           4        0.549917     0.657265   
     14       0.204545   22.895455   14.790909       0           4        0.329970     0.537787   
     15       0.165957   22.970213    1.795745       0           4        0.380835     0.600302   
     16       0.184615   22.965385   21.315385       0           4        0.554814     0.640416   
     17       0.967442    1.800000   10.720930       1           2        0.956284     1.002258   
     18       0.973494    1.783133   23.698795       1           2        0.957134     0.947362   
     19       0.973034    5.076404    4.208989       1           2        0.967876     1.029626   
     20       0.979545    5.095455   17.211364       1           2        0.940695     1.047345   
     21       0.967816    8.271264    2.648276       1           2        0.921059     0.984330   
     22       0.976842    8.237895   15.656842       1           2        0.952836     1.129762   
     23       0.950538   11.533333    9.133333       1           2        0.943793     1.130678   
     24       0.983333   11.590476   22.178571       1           2        0.939646     1.003266   
     25       0.974713   14.802299   10.705747       1           2        0.868195     1.039391   
     26       0.986957   14.760870   23.717391       1           2        0.940145     1.042490   
     27       0.966667   18.047917    4.225000       1           2        0.943643     1.129099   
     28       0.985263   18.092632   17.204211       1           2        0.936798     1.076434   
     29       0.942857   21.349451    2.628571       1           2        0.943643     1.012254   
     30       0.968085   21.295745   15.655319       1           2        0.944992     1.077256   
     31       0.976744   24.581395    9.158140       1           2        0.933450     1.022008   
     32       0.974118   24.616471   22.176471       1           2        0.852556     0.987254   
     33       1.754348   10.697826    0.991304       1           2        0.863399     1.170466   
     34       1.757647   23.724706    0.992941       1           2        0.878238     1.090054   
     35       1.717241   23.694253   14.025287       1           2        0.873042     1.121700   
     36       1.835955    2.604494    5.898876       1           2        0.848359     1.177061   
     37       1.875000    2.604545   18.927273       1           2        0.801692     1.138192   
     38       1.793333    4.197778   12.402222       1           2        0.930552     0.985252   
     39       1.777528    4.202247   25.382022       1           2        0.945941     1.004675   
     40       1.767816    9.151724    7.466667       1           2        0.925855     1.016867   
     41       1.780000    9.151111   20.466667       1           2        0.959532     1.006706   
     42       1.858824   10.750588   13.967059       1           2        0.932101     1.023684   
     43       1.806667   15.622222    5.904444       1           2        0.946441     1.026267   
     44       1.778022   15.632967   18.885714       1           2        0.894977     1.061884   
     45       1.786813   17.206593   25.395604       1           2        0.977869     0.989736   
     46       1.802381   17.219048   12.392857       1           2        0.917261     0.986789   
     47       1.829885   22.126437    7.452874       1           2        0.959582     1.030967   
     48       1.841379   22.140230   20.462069       1           2        0.934749     1.031877   
     49       1.790000    0.180000    9.915000       0           4        0.280904     0.541964   
     50       1.779167    0.150000   22.937500       0           4        0.318728     0.669707   
     51       1.808511    6.651064   16.480851       0           4        0.338015     0.654171   
     52       1.787234    6.748936    3.365957       0           4        0.359899     0.617212   
     53       1.795745   13.157447    9.953191       0           4        0.459730     0.607558   
     54       1.800000   13.155556   22.955556       0           4        0.341212     0.603283   
     55       1.807692   19.657692    3.465385       0           4        0.483663     0.663303   
     56       1.800000   19.644444   16.444444       0           4        0.421756     0.603283   
     57       2.597872    0.946809    8.385106       1           2        0.968925     1.068541   
     58       2.617391    5.882609    1.791304       1           2        0.917511     1.046851   
     59       2.604545    5.906818   14.845455       1           2        0.948989     0.988041   
     60       2.604598    7.436782    5.011494       1           2        0.946841     1.006479   
     61       2.609091    7.438636   18.013636       1           2        0.897025     1.010822   
     62       2.630769   12.384615   11.562637       1           2        0.940695     0.992692   
     63       2.626374   12.378022   24.553846       1           2        0.937747     0.999237   
     64       2.621505   13.976344    8.290323       1           2        0.954885     0.907162   
     65       2.637647   18.905882    1.811765       1           2        0.884584     1.028106   
     66       2.635955   18.907865   14.795506       1           2        0.921458     1.038973   
     67       2.613953   20.446512   18.051163       1           2        0.932800     1.046522   
     68       2.618182   25.395455   11.547727       1           2        0.955035     1.014169   
     69       2.628261   25.393478   24.541304       1           2        0.953486     1.054567   
     70       2.617778    0.962222   21.357778       1           2        0.961780     1.007513   
     71       2.613333   13.960000   21.331111       1           2        0.957184     1.027333   
     72       2.649412   20.470588    5.096471       1           2        0.926655     1.023616   
     73       3.378723    1.817021    6.634043       0           4        0.558311     0.650521   
     74       3.420408    1.857143   19.689796       0           4        0.480415     0.699497   
     75       3.392982   11.519298    0.221053       0           4        0.471522     0.748323   
     76       3.433333   18.007407   13.214815       0           4        0.379036     0.715889   
     77       3.422642   24.532075    0.181132       0           4        0.525934     0.738823   
     78       3.439344   24.560656   13.236066       0           4        0.642553     0.752136   
     79       3.441509    5.018868    0.207547       0           4        0.474769     0.639475   
     80       3.454902    5.007843   13.192157       0           4        0.396874     0.635548   
     81       3.438462    8.326923    6.703846       0           4        0.414911     0.642642   
     82       3.484211    8.287719   19.666667       0           4        0.517789     0.678183   
     83       3.423256   11.581395   13.176744       0           4        0.362198     0.562829   
     84       3.409756   14.809756    6.658537       0           4        0.361448     0.552341   
     85       3.413043   14.804348   19.665217       0           4        0.505348     0.547809   
     86       3.488462   18.065385    0.288462       0           4        0.379036     0.675906   
     87       3.475000   21.337500    6.629167       0           4        0.309435     0.630118   
     88       3.458824   21.305882   19.682353       0           4        0.358850     0.627071   
     89       4.183529    5.856471   11.609412       1           2        0.940545     0.990197   
     90       4.178022    7.463736    8.270330       1           2        0.945242     1.089933   
     91       4.217021    7.459574   21.329787       1           2        0.881936     1.097115   
     92       4.202410   12.392771   14.795181       1           2        0.940795     0.985722   
     93       4.202151   13.987097    5.081720       1           2        0.958333     1.084182   
     94       4.213483   13.977528   18.040449       1           2        0.931951     1.069951   
     95       4.222222   18.886667   24.557778       1           2        0.943393     1.161612   
     96       4.195604   18.903297   11.597802       1           2        0.961930     1.023102   
     97       4.189130   20.497826    8.254348       1           2        0.958183     1.073207   
     98       4.206818   20.461364   21.293182       1           2        0.917961     1.090765   
     99       4.215909   25.393182   14.831818       1           2        0.889181     1.009700   
    100       4.253488    0.953488   18.000000       1           2        0.970424     0.950594   
    101       4.233333    0.964286    4.990476       1           2        0.939196     0.948483   
    102       4.236957    5.917391   24.500000       1           2        0.916812     1.098583   
    103       4.218391   12.404598    1.813793       1           2        0.920159     1.000505   
    104       4.227586   25.397701    1.829885       1           2        0.934699     1.014744   
    105       5.055319    9.138298   18.885106       1           2        0.858802     1.225814   
    106       5.017582   22.123077    5.896703       1           2        0.873492     1.183669   
    107       5.096703    2.646154    7.483516       1           2        0.949889     1.112168   
    108       5.012048    2.631325   20.443373       1           2        0.882985     1.020805   
    109       4.991011    4.224719   13.968539       1           2        0.905320     1.045212   
    110       5.048889    4.220000    0.982222       1           2        0.865447     1.120514   
    111       5.065169    9.143820    5.860674       1           2        0.932101     1.076754   
    112       5.025882   10.757647   12.407059       1           2        0.949189     1.015953   
    113       5.060215   10.713978   25.384946       1           2        0.905170     1.150626   
    114       5.009195   15.609195    7.441379       1           2        0.967177     1.008491   
    115       5.060000   15.635556   20.466667       1           2        0.925306     1.071021   
    116       5.071111   17.202222    1.000000       1           2        0.897725     1.088401   
    117       5.010870   17.241304   13.958696       1           2        0.880137     1.048004   
    118       5.032967   22.136264   18.870330       1           2        0.917561     1.107213   
    119       5.047727   23.743182   25.397727       1           2        0.919160     1.043622   
    120       5.087059   23.712941   12.383529       1           2        0.872992     1.021139   
    121       5.040000    0.115556    3.435556       0           4        0.276058     0.651320   
    122       5.040000    6.700000    9.945000       0           4        0.474969     0.583631   
    123       5.015385    6.700000   22.900000       0           4        0.375489     0.621603   
    124       5.040909   13.154545    3.440909       0           4        0.393076     0.530827   
    125       5.054167   13.275000   16.379167       0           4        0.325024     0.663822   
    126       5.030435   19.665217   22.908696       0           4        0.512293     0.604004   
    127       5.010256    0.092308   16.364103       0           4        0.257071     0.609049   
    128       5.058537   19.634146    9.897561       0           4        0.457232     0.560891   
    129       5.853933   11.606742   17.195506       1           2        0.964478     0.995861   
    130       5.868132   18.090110    9.160440       1           2        0.915163     1.113670   
    131       5.865909   24.613636   17.215909       1           2        0.950888     1.055833   
    132       5.868966    1.758621    2.641379       1           2        0.956534     1.006140   
    133       5.877647    1.767059   15.647059       1           2        0.970474     0.998781   
    134       5.872941    5.049412    9.143529       1           2        0.968176     0.972872   
    135       5.847059    5.091765   22.164706       1           2        0.943943     1.039286   
    136       5.892308    8.336264   10.727473       1           2        0.908068     1.107337   
    137       5.880952    8.328571   23.726190       1           2        0.944842     1.095427   
    138       5.842353   11.616471    4.197647       1           2        0.938546     0.983726   
    139       5.894253   14.795402    2.636782       1           2        0.943593     1.045914   
    140       5.875294   14.781176   15.637647       1           2        0.907018     1.066454   
    141       5.895455   18.020455   22.134091       1           2        0.943643     1.034523   
    142       5.903448   21.344828   23.737931       1           2        0.962030     1.048321   
    143       5.905747   21.344828   10.731034       1           2        0.959382     1.018741   
    144       5.850575   24.597701    4.202299       1           2        0.927504     1.004264   
    145       6.638596    3.449123    1.757895       0           4        0.535127     0.747434   
    146       6.643137    3.474510   14.772549       0           4        0.529331     0.741176   
    147       6.653061    9.910204   18.097959       0           4        0.462028     0.730156   
    148       6.695238   16.390476   14.742857       0           4        0.546270     0.819435   
    149       6.650794   22.907937    5.057143       0           4        0.577948     0.734006   
    150       6.706383    3.412766    8.285106       0           4        0.315830     0.633128   
    151       6.680851    3.357447   21.344681       0           4        0.366145     0.644719   
