# Atom      NJumps     RNJumps    JumpCoefficient
     1          198         182        0.9192   
     2          122         105        0.8607   
     3          227         207        0.9119   
     4          200         188        0.9400   
     5          227         213        0.9383   
     6          260         240        0.9231   
     7          171         162        0.9474   
     8          280         261        0.9321   
     9          194         182        0.9381   
     10         285         268        0.9404   
     11         260         245        0.9423   
     12         245         233        0.9510   
     13         168         148        0.8810   
     14         343         330        0.9621   
     15         221         206        0.9321   
     16         179         161        0.8994   
     17         185         174        0.9405   
     18         152         133        0.8750   
     19         152         142        0.9342   
     20         247         229        0.9271   
     21         478         466        0.9749   
     22         211         192        0.9100   
     23          73          61        0.8356   
     24          86          82        0.9535   
     25          82          70        0.8537   
     26         286         264        0.9231   
     27         231         219        0.9481   
     28         152         141        0.9276   
     29         286         268        0.9371   
     30          90          79        0.8778   
     31         145         134        0.9241   
     32         201         177        0.8806   
     33         158         145        0.9177   
     34         358         343        0.9581   
     35         220         204        0.9273   
     36          91          77        0.8462   
     37         248         235        0.9476   
     38         175         161        0.9200   
     39         203         190        0.9360   
     40         308         287        0.9318   
     41         190         181        0.9526   
     42         148         132        0.8919   
     43         175         158        0.9029   
     44         206         197        0.9563   
     45         216         201        0.9306   
     46         273         261        0.9560   
     47         184         169        0.9185   
     48         290         267        0.9207   
     49         157         145        0.9236   
     50          78          71        0.9103   
     51          40          31        0.7750   
     52         252         236        0.9365   
     53         340         321        0.9441   
     54          96          89        0.9271   
     55         190         171        0.9000   
     56         216         200        0.9259   
     57         295         279        0.9458   
     58         355         335        0.9437   
     59         161         146        0.9068   
     60         106          92        0.8679   
     61         212         193        0.9104   
     62         365         353        0.9671   
     63         266         254        0.9549   
     64         167         154        0.9222   
     65          96          83        0.8646   
     66          84          72        0.8571   
     67         100          91        0.9100   
     68         261         246        0.9425   
     69         128         118        0.9219   
     70         168         158        0.9405   
     71         217         201        0.9263   
     72         162         155        0.9568   
     73          58          47        0.8103   
     74          46          42        0.9130   
     75         164         143        0.8720   
     76         129         112        0.8682   
     77         351         332        0.9459   
     78         184         165        0.8967   
     79         169         153        0.9053   
     80          98          85        0.8673   
     81         136         125        0.9191   
     82         232         218        0.9397   
     83         196         182        0.9286   
     84         113          97        0.8584   
     85         208         197        0.9471   
     86         286         278        0.9720   
     87         109          94        0.8624   
     88         268         250        0.9328   
     89         206         190        0.9223   
     90         109          94        0.8624   
     91         116         108        0.9310   
     92         203         182        0.8966   
     93         190         180        0.9474   
     94         223         204        0.9148   
     95         220         199        0.9045   
     96         342         329        0.9620   
     97         170         153        0.9000   
     98         292         275        0.9418   
     99         170         149        0.8765   
    100         247         235        0.9514   
    101         232         209        0.9009   
    102         184         167        0.9076   
    103         232         215        0.9267   
    104         186         168        0.9032   
    105         154         144        0.9351   
    106         365         341        0.9342   
    107         169         153        0.9053   
    108         332         316        0.9518   
    109         172         164        0.9535   
    110         287         276        0.9617   
    111         296         274        0.9257   
    112         191         177        0.9267   
    113         118          99        0.8390   
    114         289         276        0.9550   
    115         246         233        0.9472   
    116         260         242        0.9308   
    117         144         134        0.9306   
    118         237         220        0.9283   
    119         184         169        0.9185   
    120         189         177        0.9365   
    121         222         213        0.9595   
    122         110          96        0.8727   
    123         150         139        0.9267   
    124         223         209        0.9372   
    125         199         185        0.9296   
    126         245         234        0.9551   
    127         108          98        0.9074   
    128         208         194        0.9327   
    129         202         186        0.9208   
    130         144         131        0.9097   
    131         300         279        0.9300   
    132         256         236        0.9219   
    133         149         133        0.8926   
    134         248         239        0.9637   
    135         374         360        0.9626   
    136         149         142        0.9530   
    137         152         141        0.9276   
    138         170         158        0.9294   
    139         113         100        0.8850   
    140         262         250        0.9542   
    141         199         182        0.9146   
    142         120         108        0.9000   
    143         163         151        0.9264   
    144         200         184        0.9200   
    145         212         203        0.9575   
    146         192         179        0.9323   
    147         240         228        0.9500   
    148          98          86        0.8776   
    149         253         234        0.9249   
    150         322         304        0.9441   
    151         455         445        0.9780   
    152         202         196        0.9703   
    153         117          97        0.8291   
    154         202         188        0.9307   
    155         232         215        0.9267   
    156         166         149        0.8976   
    157         204         188        0.9216   
    158          92          79        0.8587   
    159         167         153        0.9162   
    160          50          43        0.8600   
    161         207         192        0.9275   
    162         242         229        0.9463   
    163         207         192        0.9275   
    164         345         328        0.9507   
    165         146         136        0.9315   
    166         396         381        0.9621   
    167         270         259        0.9593   
    168         150         142        0.9467   
    169         100          91        0.9100   
    170         253         236        0.9328   
    171         142         133        0.9366   
    172         196         181        0.9235   
    173         170         162        0.9529   
    174         272         257        0.9449   
    175         266         247        0.9286   
    176         230         218        0.9478   
    177         191         182        0.9529   
    178         162         155        0.9568   
    179          70          61        0.8714   
    180         168         153        0.9107   
    181          93          81        0.8710   
    182         164         151        0.9207   
    183         181         170        0.9392   
    184         204         189        0.9265   
    185         247         236        0.9555   
    186         184         171        0.9293   
    187         202         194        0.9604   
    188         174         162        0.9310   
    189         244         236        0.9672   
