#Site-label   Center(X)   Center(Y)   Center(Z)  Site-Type   N-Neighbors   Occupancy  Site-Amplitud
     1        0.323507    0.376324   -0.039443       0           4        0.857051     0.732514   
     2        0.352016    0.372723    6.302291       0           4        0.827431     0.764066   
     3        0.329547    4.801045    3.834689       0           4        0.692138     0.878031   
     4        0.326478    4.813645   10.228680       0           4        0.392574     0.762810   
     5        2.601697    2.682683    1.108800       1           4        0.332332     0.858635   
     6        2.587524    2.660412    4.227552       1           4        0.521858     1.329651   
     7        2.634267    2.627665   10.702330       1           4        0.453460     1.184295   
     8        2.590382    6.842182    1.067294       1           4        0.381842     0.908996   
     9        2.608833    6.900462    4.303003       2           4        0.584818     1.476187   
     10       2.658924    6.947912   10.664229       2           4        0.525506     1.196158   
     11       2.637395    6.921163    7.265558       1           4        0.424626     1.011467   
     12       2.704828    2.647884    7.456050       1           4        0.336052     0.856631   
     13       4.720004    0.354317   10.187100       0           4        0.668241     0.817860   
     14       4.717473    4.737720    7.647360       0           4        0.799314     0.693660   
     15       4.748090    0.325922    3.886946       0           4        0.363741     0.802934   
     16       4.737720    4.737720    1.310400       0           4        0.780926     0.724932   
     17       6.844096    2.684491    4.476600       2           4        0.541247     1.329805   
     18       6.748889    2.609570    7.526400       1           4        0.320455     0.706577   
     19       6.872619    2.643315   10.595200       2           4        0.547829     1.318770   
     20       6.844096    2.765839    1.198800       2           4        0.357087     0.717752   
     21       6.897187    6.881203    0.803747       1           4        0.403592     1.186579   
     22       6.825258    6.905179    7.241684       1           4        0.417830     0.986887   
     23       6.903752    6.909175    4.174200       2           4        0.558275     1.383228   
     24       6.858558    6.939545   10.573920       2           4        0.572011     1.603119   
