# Atom      NJumps     RNJumps    JumpCoefficient
     1           2           0         0.0000   
     2           69          49        0.7101   
     3           50          34        0.6800   
     4           43          28        0.6512   
     5           66          46        0.6970   
     6           84          62        0.7381   
     7           62          45        0.7258   
     8           44          24        0.5455   
     9           67          45        0.6716   
     10          68          45        0.6618   
     11          67          44        0.6567   
     12          91          70        0.7692   
     13          49          36        0.7347   
     14          27          17        0.6296   
     15          55          43        0.7818   
     16          95          69        0.7263   
     17          84          59        0.7024   
     18          85          59        0.6941   
     19          29          21        0.7241   
     20          18          8         0.4444   
